@RELATION pacman-training

@ATTRIBUTE pacman_x NUMERIC
@ATTRIBUTE pacman_y NUMERIC
@ATTRIBUTE living_ghosts NUMERIC
@ATTRIBUTE num_food NUMERIC
@ATTRIBUTE move_west NUMERIC
@ATTRIBUTE move_east NUMERIC
@ATTRIBUTE move_north NUMERIC
@ATTRIBUTE move_south NUMERIC
@ATTRIBUTE move_stop NUMERIC
@ATTRIBUTE ghost1_x NUMERIC
@ATTRIBUTE ghost1_y NUMERIC
@ATTRIBUTE ghost1_distance NUMERIC
@ATTRIBUTE ghost1_alive NUMERIC
@ATTRIBUTE ghost2_x NUMERIC
@ATTRIBUTE ghost2_y NUMERIC
@ATTRIBUTE ghost2_distance NUMERIC
@ATTRIBUTE ghost2_alive NUMERIC
@ATTRIBUTE ghost3_x NUMERIC
@ATTRIBUTE ghost3_y NUMERIC
@ATTRIBUTE ghost3_distance NUMERIC
@ATTRIBUTE ghost3_alive NUMERIC
@ATTRIBUTE ghost4_x NUMERIC
@ATTRIBUTE ghost4_y NUMERIC
@ATTRIBUTE ghost4_distance NUMERIC
@ATTRIBUTE ghost4_alive NUMERIC
@ATTRIBUTE closest_food NUMERIC
@ATTRIBUTE score_now NUMERIC
@ATTRIBUTE living_ghosts_after NUMERIC
@ATTRIBUTE num_food_after NUMERIC
@ATTRIBUTE ghost1_distance_after NUMERIC
@ATTRIBUTE ghost1_alive_after NUMERIC
@ATTRIBUTE ghost2_distance_after NUMERIC
@ATTRIBUTE ghost2_alive_after NUMERIC
@ATTRIBUTE ghost3_distance_after NUMERIC
@ATTRIBUTE ghost3_alive_after NUMERIC
@ATTRIBUTE ghost4_distance_after NUMERIC
@ATTRIBUTE ghost4_alive_after NUMERIC
@ATTRIBUTE closest_food_after NUMERIC
@ATTRIBUTE score_after NUMERIC

@ATTRIBUTE action_taken {West, East, North, South, Stop}

@DATA
8, 6, 4, 0, 1, 1, 1, 1, 1, 5, 9, 6, 1, 11, 3, 6, 1, 17, 6, 9, 1, 25, 13, 24, 1, 0, -19, 4, 0, 7, 1, 5, 1, 10, 1, 25, 1, 0, -20, South
8, 5, 4, 0, 0, 1, 1, 1, 1, 5, 9, 7, 1, 11, 3, 5, 1, 17, 6, 10, 1, 25, 13, 25, 1, 0, -20, 4, 0, 8, 1, 4, 1, 11, 1, 26, 1, 0, -21, South
8, 4, 4, 0, 0, 1, 1, 1, 1, 5, 9, 8, 1, 11, 3, 4, 1, 17, 6, 11, 1, 25, 13, 26, 1, 0, -21, 4, 0, 9, 1, 3, 1, 12, 1, 27, 1, 0, -22, South
8, 3, 4, 0, 1, 1, 1, 0, 1, 5, 9, 9, 1, 11, 3, 3, 1, 17, 6, 12, 1, 25, 13, 27, 1, 0, -22, 4, 0, 10, 1, 2, 1, 11, 1, 26, 1, 0, -23, East
9, 3, 4, 0, 1, 1, 1, 0, 1, 5, 9, 10, 1, 11, 3, 2, 1, 17, 6, 11, 1, 25, 13, 26, 1, 0, -23, 4, 0, 11, 1, 1, 1, 10, 1, 25, 1, 0, -24, East
10, 3, 4, 0, 1, 1, 1, 0, 1, 5, 9, 11, 1, 11, 3, 1, 1, 17, 6, 10, 1, 25, 13, 25, 1, 0, -24, 3, 0, 12, 1, 0, 0, 9, 1, 24, 1, 0, 175, East
11, 3, 3, 0, 1, 0, 1, 0, 1, 5, 9, 12, 1, 3, 1, 0, 0, 17, 6, 9, 1, 25, 13, 24, 1, 0, 175, 3, 0, 11, 1, 0, 0, 8, 1, 23, 1, 0, 174, North
11, 4, 3, 0, 1, 0, 1, 1, 1, 5, 9, 11, 1, 3, 1, 0, 0, 17, 6, 8, 1, 25, 13, 23, 1, 0, 174, 3, 0, 10, 1, 0, 0, 7, 1, 22, 1, 0, 173, North
11, 5, 3, 0, 1, 0, 1, 1, 1, 5, 9, 10, 1, 3, 1, 0, 0, 17, 6, 7, 1, 25, 13, 22, 1, 0, 173, 3, 0, 9, 1, 0, 0, 6, 1, 21, 1, 0, 172, North
11, 6, 3, 0, 1, 0, 1, 1, 1, 5, 9, 9, 1, 3, 1, 0, 0, 17, 6, 6, 1, 25, 13, 21, 1, 0, 172, 3, 0, 8, 1, 0, 0, 7, 1, 20, 1, 0, 171, North
