%
%  Este dataset parte de training_tutorial1
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v3

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
10,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,17,6,7,1,25,13,22,1,0,349,East
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,6,1,25,13,21,1,0,348,North
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,7,1,25,13,20,1,0,347,North
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,8,1,25,13,19,1,0,346,North
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,9,1,25,13,18,1,0,345,North
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,10,1,25,13,17,1,0,344,North
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,6,11,1,25,13,16,1,0,343,North
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,17,6,12,1,25,13,15,1,0,342,East
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,17,6,11,1,25,13,14,1,0,341,East
13,11,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,9,1,25,13,14,1,0,339,South
13,10,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,8,1,25,13,15,1,0,338,South
13,9,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,7,1,25,13,16,1,0,337,South
13,8,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,6,1,25,13,17,1,0,336,South
13,7,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,5,1,25,13,18,1,0,335,South
13,6,2,0,0,1,1,1,1,1,0,0,3,1,0,0,17,6,4,1,25,13,19,1,0,334,East
14,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,17,6,3,1,25,13,18,1,0,333,East
15,6,2,0,1,1,0,0,1,1,0,0,3,1,0,0,17,6,2,1,25,13,17,1,0,332,East
16,6,2,0,1,1,0,0,1,1,0,0,3,1,0,0,17,6,1,1,25,13,16,1,0,331,East
17,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,15,1,0,530,East
18,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,14,1,0,529,East
19,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,13,1,0,528,East
20,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,12,1,0,527,East
21,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,11,1,0,526,East
22,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,10,1,0,525,East
23,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,9,1,0,524,North
23,7,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,8,1,0,523,North
23,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,7,1,0,522,North
20,11,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,7,1,0,516,North
20,12,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,6,1,0,515,North
20,13,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,5,1,0,514,North
20,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,6,1,0,513,North
20,15,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,13,7,1,0,512,East
21,15,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,6,1,0,511,East
22,13,1,0,0,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,3,1,0,508,East
23,13,1,0,1,0,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,2,1,0,507,North
24,14,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,13,2,1,0,505,East
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,South
1,17,4,0,0,0,1,1,4,9,11,1,10,3,23,1,17,6,27,1,25,13,27,1,0,-1,South
1,16,4,0,0,1,1,1,4,8,11,1,9,3,21,1,18,6,27,1,25,14,26,1,0,-2,South
1,15,4,0,0,1,1,1,4,8,10,1,8,3,19,1,17,6,25,1,25,14,26,1,0,-3,South
1,14,4,0,0,1,1,1,4,9,8,1,9,3,19,1,17,5,25,1,25,13,24,1,0,-4,South
1,13,4,0,0,0,1,1,4,10,6,1,9,4,17,1,17,5,24,1,25,14,24,1,0,-5,South
1,12,4,0,0,1,1,1,5,10,6,1,9,3,17,1,17,4,24,1,25,13,25,1,0,-6,East
2,12,4,0,1,1,0,0,6,10,6,1,9,4,15,1,17,3,24,1,25,13,24,1,0,-7,East
3,12,4,0,1,1,0,0,6,10,5,1,8,4,13,1,17,3,23,1,25,13,24,1,0,-8,East
4,12,4,0,1,1,0,0,5,10,3,1,9,4,13,1,16,3,21,1,25,14,23,1,0,-9,East
5,12,4,0,1,1,0,0,4,10,3,1,9,5,11,1,16,4,19,1,25,14,23,1,0,-10,East
6,12,4,0,1,1,0,0,4,10,4,1,9,4,11,1,15,4,17,1,25,15,21,1,0,-11,East
7,12,4,0,1,1,0,0,3,10,6,1,9,3,11,1,15,3,17,1,25,14,19,1,0,-12,West
6,12,4,0,1,1,0,0,3,10,5,1,8,3,11,1,14,3,17,1,25,13,21,1,0,-13,West
5,12,4,0,1,1,0,0,3,10,4,1,9,3,13,1,13,3,17,1,25,14,23,1,0,-14,West
4,12,4,0,1,1,0,0,4,10,2,1,8,3,13,1,14,3,19,1,25,15,24,1,0,-15,East
5,12,4,0,1,1,0,0,3,10,4,1,7,3,11,1,14,3,18,1,25,15,22,1,0,-16,West
