%
%  Este dataset parte de training_keyboard
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se han eliminado las instancias iniciales generadas al empezar a jugar ('Stop')
%

@relation training_keyboard_v2

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,14,9,6,1,25,14,15,1,0,358,East
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,14,10,4,1,24,14,14,1,0,357,East
13,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,14,9,4,1,24,14,13,1,0,356,East
14,12,2,0,1,1,1,1,1,1,0,0,3,1,0,0,14,8,4,1,24,14,13,1,0,355,South
14,11,2,0,1,1,1,1,1,1,0,0,3,1,0,0,13,8,4,1,24,15,15,1,0,354,South
14,10,2,0,1,1,1,1,1,1,0,0,3,1,0,0,14,8,2,1,24,16,16,1,0,353,South
14,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,14,7,2,1,24,16,16,1,0,352,South
14,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,17,1,0,551,South
14,7,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,19,1,0,550,South
14,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,16,19,1,0,549,North
14,7,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,19,1,0,548,North
14,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,16,17,1,0,547,North
14,9,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,16,1,0,546,North
14,10,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,16,1,0,545,East
15,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,16,16,1,0,544,East
16,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,16,1,0,543,East
17,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,17,14,1,0,542,East
18,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,12,1,0,541,East
19,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,15,11,1,0,540,East
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,15,9,1,0,539,North
20,11,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,14,9,1,0,538,North
20,12,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,15,7,1,0,537,North
20,13,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,6,1,0,536,North
20,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,5,1,0,535,North
20,15,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,3,1,0,534,East
21,15,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,23,15,3,1,0,533,East
22,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,14,2,1,0,532,East
23,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,14,1,1,0,531,South
