%
%  Este dataset parte de training_tutorial1_plus
%  
%  - Se han eliminado los datos futuros
%  - Se ha eliminado el atributo 'Stop'
%  - Se ha aplicado el filtro RemoveMissClassified
%

@relation training_tutorial1_v5

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute action_taken {West,East,North,South,Stop}

@data
5,12,4,0,1,1,0,0,5,10,2,1,11,3,15,1,19,4,22,1,25,16,25,1,0,-16,East
6,12,4,0,1,1,0,0,6,10,2,1,11,4,13,1,20,4,22,1,25,17,25,1,0,-17,East
7,12,4,0,1,1,0,0,5,10,4,1,11,3,13,1,19,4,20,1,25,18,23,1,0,-18,East
8,12,4,0,1,1,1,1,5,10,5,1,10,3,11,1,19,5,18,1,25,17,22,1,0,-19,South
8,11,4,0,0,1,1,1,4,10,5,1,11,3,11,1,19,5,17,1,25,17,22,1,0,-20,South
8,10,4,0,0,1,1,1,4,9,5,1,10,3,9,1,19,4,17,1,25,16,23,1,0,-21,South
8,9,4,0,0,1,1,1,4,10,5,1,9,3,7,1,19,3,17,1,25,16,25,1,0,-22,South
8,8,4,0,0,1,1,1,4,10,6,1,9,3,6,1,20,3,17,1,25,17,25,1,0,-23,South
8,7,4,0,0,1,1,1,4,9,6,1,8,3,4,1,20,4,15,1,25,16,26,1,0,-24,South
8,6,4,0,1,1,1,1,4,8,6,1,7,3,4,1,20,5,13,1,25,16,27,1,0,-25,South
8,5,4,0,0,1,1,1,4,9,8,1,6,3,4,1,20,5,12,1,25,16,27,1,0,-26,South
8,4,4,0,0,1,1,1,4,10,10,1,6,3,3,1,20,6,14,1,24,16,29,1,0,-27,South
8,3,4,0,1,1,1,0,4,10,11,1,7,3,1,1,20,5,14,1,25,16,30,1,0,-28,West
7,3,3,0,1,1,0,0,3,10,11,1,3,1,0,0,20,6,16,1,25,16,30,1,0,171,West
6,3,3,0,1,1,0,0,3,10,10,1,3,1,0,0,21,6,18,1,24,16,32,1,0,170,West
5,3,3,0,1,1,1,0,3,10,9,1,3,1,0,0,22,6,20,1,25,16,33,1,0,169,North
5,4,3,0,1,0,1,1,4,10,7,1,3,1,0,0,23,6,20,1,25,16,32,1,0,168,North
5,5,3,0,1,0,1,1,4,10,6,1,3,1,0,0,22,6,18,1,25,16,31,1,0,167,North
5,6,3,0,1,1,1,1,4,10,5,1,3,1,0,0,21,6,16,1,25,16,31,1,0,166,North
5,7,3,0,1,1,1,1,3,10,5,1,3,1,0,0,21,6,17,1,25,17,31,1,0,165,North
5,8,3,0,1,1,1,1,3,9,3,1,3,1,0,0,22,6,19,1,25,18,29,1,0,164,North
5,8,3,0,1,1,1,1,4,8,1,1,3,1,0,0,22,6,19,1,23,18,28,1,0,162,West
4,7,2,0,1,1,1,1,1,1,0,0,3,1,0,0,21,6,18,1,24,18,32,1,0,360,South
4,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,20,6,16,1,25,18,33,1,0,359,East
5,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,6,14,1,25,18,31,1,0,358,East
6,6,2,0,1,1,1,0,1,1,0,0,3,1,0,0,19,5,14,1,24,18,31,1,0,357,East
7,6,2,0,1,1,0,0,1,1,0,0,3,1,0,0,19,5,13,1,25,18,30,1,0,356,East
8,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,18,5,11,1,25,18,29,1,0,355,South
8,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,18,4,11,1,25,18,29,1,0,354,South
8,4,2,0,0,1,1,1,1,1,0,0,3,1,0,0,18,4,10,1,24,18,30,1,0,353,East
9,4,2,0,1,1,1,1,1,1,0,0,3,1,0,0,18,5,10,1,24,18,30,1,0,352,North
9,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,5,10,1,25,18,28,1,0,351,East
10,5,2,0,1,1,1,1,1,1,0,0,3,1,0,0,19,6,10,1,24,18,26,1,0,350,North
10,6,2,0,1,1,1,1,1,1,0,0,3,1,0,0,20,6,10,1,23,18,26,1,0,349,East
11,6,2,0,1,0,1,1,1,1,0,0,3,1,0,0,20,5,10,1,24,18,25,1,0,348,North
11,7,2,0,1,0,1,1,1,1,0,0,3,1,0,0,20,4,12,1,24,18,25,1,0,347,North
11,8,2,0,1,0,1,1,1,1,0,0,3,1,0,0,19,4,12,1,25,18,23,1,0,346,North
11,9,2,0,1,0,1,1,1,1,0,0,3,1,0,0,18,4,12,1,25,17,23,1,0,345,North
11,10,2,0,1,0,1,1,1,1,0,0,3,1,0,0,18,3,14,1,25,18,21,1,0,344,North
11,11,2,0,1,0,1,1,1,1,0,0,3,1,0,0,17,3,14,1,24,18,21,1,0,343,North
11,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,17,4,14,1,25,18,19,1,0,342,East
12,12,2,0,1,1,0,0,1,1,0,0,3,1,0,0,17,4,13,1,24,18,17,1,0,341,East
13,12,2,0,1,1,0,1,1,1,0,0,3,1,0,0,16,4,11,1,23,18,15,1,0,340,South
13,11,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,4,9,1,22,18,17,1,0,339,South
13,10,2,0,0,1,1,1,1,1,0,0,3,1,0,0,14,4,7,1,23,18,17,1,0,338,South
13,9,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,4,7,1,22,18,19,1,0,337,South
13,8,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,3,7,1,23,18,20,1,0,336,South
13,7,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,4,5,1,23,18,22,1,0,335,South
13,6,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,3,5,1,24,18,23,1,0,334,South
13,5,2,0,0,1,1,1,1,1,0,0,3,1,0,0,15,4,3,1,24,18,25,1,0,333,South
13,4,2,0,0,1,1,1,1,1,0,0,3,1,0,0,16,4,3,1,25,18,25,1,0,332,East
14,4,2,0,1,1,1,1,1,1,0,0,3,1,0,0,15,4,1,1,24,18,25,1,0,331,East
15,4,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,23,1,0,530,East
16,4,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,22,1,0,529,East
17,4,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,22,1,0,528,North
17,5,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,20,1,0,527,North
17,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,18,1,0,526,East
18,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,16,18,1,0,525,East
19,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,18,1,0,524,East
20,6,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,16,1,0,523,East
21,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,15,1,0,522,East
22,6,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,13,1,0,521,East
23,6,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,18,12,1,0,520,North
23,7,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,18,12,1,0,519,North
23,8,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,11,1,0,518,North
23,9,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,10,1,0,517,North
23,10,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,18,9,1,0,516,West
22,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,10,1,0,515,West
21,10,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,11,1,0,514,West
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,18,13,1,0,513,North
20,11,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,12,1,0,512,North
20,12,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,11,1,0,511,North
20,13,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,9,1,0,510,North
20,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,9,1,0,509,North
20,15,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,7,1,0,508,North
20,16,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,17,6,1,0,507,North
21,17,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,5,1,0,505,North
21,18,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,18,5,1,0,504,East
22,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,17,5,1,0,503,East
23,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,4,1,0,502,East
24,18,1,0,1,1,0,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,3,1,0,501,East
25,18,1,0,1,0,0,1,1,1,0,0,3,1,0,0,5,1,0,0,25,16,3,1,0,500,South
25,17,1,0,0,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,15,3,1,0,499,South
25,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,3,1,0,496,North
25,15,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,16,3,1,0,495,North
24,16,1,0,1,1,0,1,1,1,0,0,3,1,0,0,5,1,0,0,23,16,1,1,0,493,West
1,18,4,0,0,1,0,1,5,9,13,1,11,3,25,1,17,6,28,1,25,13,29,1,0,0,South
1,17,4,0,0,0,1,1,6,9,13,1,10,3,23,1,17,5,28,1,25,13,27,1,0,-1,South
1,16,4,0,0,1,1,1,5,9,11,1,10,4,21,1,18,5,28,1,25,14,25,1,0,-2,South
1,15,4,0,0,1,1,1,5,10,9,1,10,3,21,1,18,6,26,1,24,14,23,1,0,-3,South
1,14,4,0,0,1,1,1,5,9,9,1,9,3,19,1,18,6,25,1,23,14,23,1,0,-4,South
1,13,4,0,0,0,1,1,4,9,7,1,10,3,19,1,17,6,23,1,23,15,23,1,0,-5,South
1,12,4,0,0,1,1,1,5,9,7,1,9,3,17,1,18,6,23,1,22,15,23,1,0,-6,East
2,12,4,0,1,1,0,0,5,8,7,1,8,3,15,1,18,6,22,1,22,14,23,1,0,-7,East
3,12,4,0,1,1,0,0,5,8,6,1,9,3,15,1,17,6,20,1,23,14,23,1,0,-8,East
4,12,4,0,1,1,0,0,4,8,4,1,8,3,13,1,18,6,20,1,23,15,23,1,0,-9,West
