%
% Aplicados en este archivo:
%   - Eliminados atributos move_stop y todos los que acaban en _after (excepto score_after)
%   - Eliminadas todas las instancias cuya acción fuera 'Stop'
%

@relation 'pacman-training-keyboard'

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute living_ghosts numeric
@attribute num_food numeric
@attribute move_west numeric
@attribute move_east numeric
@attribute move_north numeric
@attribute move_south numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost1_distance numeric
@attribute ghost1_alive numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost2_distance numeric
@attribute ghost2_alive numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost3_distance numeric
@attribute ghost3_alive numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost4_distance numeric
@attribute ghost4_alive numeric
@attribute closest_food numeric
@attribute score_now numeric
@attribute score_after numeric

@data
15,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,24,16,16,1,0,544,543
16,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,16,1,0,543,542
17,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,17,14,1,0,542,541
18,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,16,12,1,0,541,540
19,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,15,11,1,0,540,539
20,10,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,25,15,9,1,0,539,538
20,11,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,14,9,1,0,538,537
20,12,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,25,15,7,1,0,537,536
20,13,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,6,1,0,536,535
20,14,1,0,1,0,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,5,1,0,535,534
20,15,1,0,0,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,24,15,3,1,0,534,533
21,15,1,0,1,1,1,0,1,1,0,0,3,1,0,0,5,1,0,0,23,15,3,1,0,533,532
22,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,14,2,1,0,532,531
23,15,1,0,1,1,1,1,1,1,0,0,3,1,0,0,5,1,0,0,23,14,1,1,0,531,730
8,1,4,22,1,1,1,0,3,1,0,1,3,5,9,1,12,5,8,1,17,1,0,1,3,-6,-7
7,1,4,22,1,1,1,0,4,1,0,1,4,5,7,1,12,5,9,1,17,1,0,1,2,-7,-8
6,1,4,22,1,1,0,0,5,1,0,1,4,5,6,1,11,5,9,1,17,1,12,1,1,-8,291
5,1,3,21,1,1,1,0,1,1,0,0,4,5,5,1,12,5,11,1,17,2,0,1,1,291,390
4,1,3,20,1,1,0,0,1,2,4,0,3,5,5,1,13,5,13,1,17,1,14,1,1,390,489
3,1,3,19,1,1,0,0,1,1,0,0,3,5,4,1,13,5,14,1,17,2,16,1,1,489,788
2,1,3,18,1,1,0,0,1,1,0,0,3,5,5,1,14,5,16,1,17,3,16,1,2,788,987
1,1,3,18,0,1,1,0,1,2,1,0,3,5,6,1,15,5,18,1,17,2,18,1,1,987,1486
1,2,3,17,0,0,1,1,1,1,0,0,3,4,4,1,16,5,18,1,17,3,18,1,1,1486,1585
1,3,3,16,0,0,1,1,2,1,0,0,3,4,3,1,17,5,18,1,17,4,16,1,1,1585,1684
1,4,3,15,0,0,1,1,3,1,0,0,3,4,2,1,17,5,17,1,17,3,17,1,2,1684,1683
1,5,3,15,0,1,0,1,2,1,0,0,3,4,3,1,17,4,17,1,17,3,19,1,1,1683,1782
2,5,3,14,1,1,0,0,3,1,0,0,3,5,1,1,17,3,17,1,17,2,0,1,6,1782,1981
3,5,2,14,1,1,0,1,4,1,0,0,4,1,0,0,17,3,16,1,17,1,17,1,5,1981,1980
3,4,2,14,0,0,1,1,3,1,0,0,5,1,0,0,17,3,15,1,17,2,16,1,4,1980,1979
3,3,2,14,0,0,1,0,3,1,0,0,5,1,0,0,17,4,15,1,17,2,15,1,3,1979,1978
3,4,2,14,0,0,1,1,4,1,0,0,6,1,0,0,17,4,14,1,17,2,16,1,4,1978,1977
3,5,2,14,1,1,0,1,5,1,0,0,7,1,0,0,17,3,16,1,17,2,17,1,5,1977,1976
4,5,2,14,1,1,0,0,5,1,0,0,7,1,0,0,17,4,14,1,17,2,0,1,4,1976,1975
5,5,2,14,1,1,0,1,4,1,0,0,6,1,0,0,17,3,14,1,17,1,0,1,3,1975,1974
6,5,2,14,1,1,0,0,3,1,0,0,5,1,0,0,17,2,14,1,17,1,0,1,4,1974,1973
7,5,2,14,1,1,0,0,4,1,0,0,5,2,5,0,17,3,12,1,17,1,0,1,5,1973,1972
8,5,2,14,1,1,0,0,4,1,0,0,5,3,5,0,17,4,10,1,17,1,12,1,6,1972,1971
